MANDT;MATNR;BWKEY;BWTAR;LVORM;LBKUM;SALK3;VPRSV;VERPR;STPRS;PEINH;BKLAS;SALKV;VMKUM;VMSAL;VMVPR;VMVER;VMSTP;VMPEI;VMBKL;VMSAV;VJKUM;VJSAL;VJVPR;VJVER;VJSTP;VJPEI;VJBKL;VJSAV;LFGJA;LFMON;BWTTY;STPRV;LAEPR;ZKPRS;ZKDAT;TIMESTAMP;BWPRS;BWPRH;VJBWS;VJBWH;VVJSL;VVJLB;VVMLB;VVSAL;ZPLPR;ZPLP1;ZPLP2;ZPLP3;ZPLD1;ZPLD2;ZPLD3;PPERZ;PPERL;PPERV;KALKZ;KALKL;KALKV;KALSC;XLIFO;MYPOL;BWPH1;BWPS1;ABWKZ;PSTAT;KALN1;KALNR;BWVA1;BWVA2;BWVA3;VERS1;VERS2;VERS3;HRKFT;KOSGR;PPRDZ;PPRDL;PPRDV;PDATZ;PDATL;PDATV;EKALR;VPLPR;MLMAA;MLAST;LPLPR;VKSAL;HKMAT;SPERW;KZIWL;WLINL;ABCIW;BWSPA;LPLPX;VPLPX;FPLPX;LBWST;VBWST;FBWST;EKLAS;QKLAS;MTUSE;MTORG;OWNPR;XBEWM;BWPEI;MBRUE;OKLAS;OIPPINV
800;000000000000000038;1000;;X; 00000000000000.; 00000000000000.;S; 000000000000.; 000000000000.; 000001.;7900; 00000000000000.; 00000000000000.; 00000000000000.;S; 000000000000.; 000000000000.; 000001.;7900; 00000000000000.; 00000000000000.; 00000000000000.;S; 000000000000.; 000000000000.; 000001.;7900; 00000000000000.;1998;09;; 000000000000.;1970-01-01; 000000000000.;1970-01-01; 0000000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.;1970-01-01;1970-01-01;1970-01-01;000000;000000;000000;;;;;;; 000000000000.; 000000000000.;00;G              ;000100008278;000100008279;;;;00;00;00;;;000;000;000;0000;0000;0000;X; 000000000000.;;; 000000000000.; 00000000000000.;X;;;1970-01-01;; 0000000.; 000000000000.; 000000000000.; 000000000000.;;;;;;;;;; 000000.;;;
800;000000000000000043;0001;;; 00000000000000.; 00000000000000.;S; 000000000000.; 000000000020.; 000001.;3100; 00000000000000.; 00000000000000.; 00000000000000.;S; 000000000000.; 000000000020.; 000001.;3100; 00000000000000.; 00000000000000.; 00000000000000.;S; 000000000000.; 000000000020.; 000001.;3100; 00000000000000.;2004;01;; 000000000000.;1970-01-01; 000000000000.;1970-01-01; 0000000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.;1970-01-01;1970-01-01;1970-01-01;000000;000000;000000;;;;;;; 000000000000.; 000000000000.;00;B              ;000100073082;000100073083;;;;00;00;00;;;000;000;000;0000;0000;0000;; 000000000000.;;; 000000000000.; 00000000000000.;;;;1970-01-01;; 0000000.; 000000000000.; 000000000000.; 000000000000.;;;;;;;;;; 000000.;;;
800;000000000000000058;3000;;; 00000000000000.; 00000000000000.;S; 000000000000.; 000000015467.; 000001.;3030; 00000000000000.; 00000000000000.; 00000000000000.;S; 000000000000.; 000000015467.; 000001.;3030; 00000000000000.; 00000000000000.; 00000000000000.;S; 000000000000.; 000000015467.; 000001.;3030; 00000000000000.;1998;09;; 000000000000.;1970-01-01; 000000000000.;1970-01-01; 0000000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.;1970-01-01;1970-01-01;1970-01-01;000000;000000;000000;;;;;;; 000000000000.; 000000000000.;00;B              ;000100006476;000100006477;;;;00;00;00;;;000;000;000;0000;0000;0000;; 000000000000.;;; 000000000000.; 00000000000000.;X;;;1970-01-01;; 0000000.; 000000000000.; 000000000000.; 000000000000.;;;;;;;;;; 000000.;;;
800;000000000000000059;3000;;; 00000000000000.; 00000000000000.;S; 000000000000.; 000000000896.; 000001.;3030; 00000000000000.; 00000000000000.; 00000000000000.;S; 000000000000.; 000000000896.; 000001.;3030; 00000000000000.; 00000000000000.; 00000000000000.;S; 000000000000.; 000000000896.; 000001.;3030; 00000000000000.;1998;09;; 000000000000.;1970-01-01; 000000000000.;1970-01-01; 0000000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.;1970-01-01;1970-01-01;1970-01-01;000000;000000;000000;;;;;;; 000000000000.; 000000000000.;00;B              ;000100006478;000100006479;;;;00;00;00;;;000;000;000;0000;0000;0000;; 000000000000.;;; 000000000000.; 00000000000000.;X;;;1970-01-01;; 0000000.; 000000000000.; 000000000000.; 000000000000.;;;;;;;;;; 000000.;;;
800;000000000000000088;2300;;X; 00000000000000.; 00000000000000.;S; 000000000000.; 000000000000.; 000001.;7920; 00000000000000.; 00000000000000.; 00000000000000.;S; 000000000000.; 000000000000.; 000001.;7920; 00000000000000.; 00000000000000.; 00000000000000.;S; 000000000000.; 000000000000.; 000001.;7920; 00000000000000.;1998;09;; 000000000000.;1970-01-01; 000000000000.;1970-01-01; 0000000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.;1970-01-01;1970-01-01;1970-01-01;000000;000000;000000;;;;;;; 000000000000.; 000000000000.;00;B              ;000100014878;000100014879;;;;00;00;00;;;000;000;000;0000;0000;0000;; 000000000000.;;; 000000000000.; 00000000000000.;X;;;1970-01-01;; 0000000.; 000000000000.; 000000000000.; 000000000000.;;;;;;;;;; 000000.;;;
800;000000000000000358;3200;;; 00000000000000.; 00000000000000.;V; 000000000000.; 000000000000.; 000001.;3100; 00000000000000.; 00000000000000.; 00000000000000.;V; 000000000000.; 000000000000.; 000001.;3100; 00000000000000.; 00000000000000.; 00000000000000.;V; 000000000000.; 000000000000.; 000001.;3100; 00000000000000.;2001;02;; 000000000000.;1970-01-01; 000000000000.;1970-01-01; 0000000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.;1970-01-01;1970-01-01;1970-01-01;000000;000000;000000;;;;;;; 000000000000.; 000000000000.;00;B              ;000100039060;000100039061;;;;00;00;00;;;000;000;000;0000;0000;0000;; 000000000000.;;; 000000000000.; 00000000000000.;;;;1970-01-01;; 0000000.; 000000000000.; 000000000000.; 000000000000.;;;;;;;;;; 000000.;X;;
800;000000000000000521;7500;;; 00000000010000.; 00000000100000.;V; 000000000010.; 000000000000.; 000001.;3100; 00000000000000.; 00000000000000.; 00000000000000.;V; 000000000010.; 000000000000.; 000001.;3100; 00000000000000.; 00000000000000.; 00000000000000.;V; 000000000010.; 000000000000.; 000001.;3100; 00000000000000.;2001;01;; 000000000000.;1970-01-01; 000000000000.;1970-01-01; 0000000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.;1970-01-01;1970-01-01;1970-01-01;000000;000000;000000;;;;;;; 000000000000.; 000000000000.;00;B              ;000100045910;000100045911;;;;00;00;00;;;000;000;000;0000;0000;0000;; 000000000000.;;; 000000000000.; 00000000000000.;;;;1970-01-01;; 0000000.; 000000000000.; 000000000000.; 000000000000.;;;;;;;;;; 000000.;;;
800;000000000000000578;1200;;; 00000000000500.; 00000000271275.;V; 000000000543.; 000000000542.; 000001.;7920; 00000000000000.; 00000000000000.; 00000000000000.;V; 000000000543.; 000000000542.; 000001.;7920; 00000000000000.; 00000000000000.; 00000000000000.;V; 000000000543.; 000000000542.; 000001.;7920; 00000000000000.;2002;05;; 000000000000.;1970-01-01; 000000000000.;1970-01-01; 0000000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.;1970-01-01;1970-01-01;1970-01-01;000000;000000;000000;;;;;;; 000000000000.; 000000000000.;00;BG             ;000100053354;000100053355;;;;00;00;00;;;000;000;000;0000;0000;0000;X; 000000000000.;;; 000000000000.; 00000000000000.;X;;;1970-01-01;; 0000000.; 000000000000.; 000000000000.; 000000000000.;;;;;;;;;; 000000.;;;
800;000000000000000697;3000;;; 00000000000000.; 00000000000000.;V; 000000000131.; 000000000000.; 000001.;3000; 00000000000000.; 00000000000000.; 00000000000000.;V; 000000000131.; 000000000000.; 000001.;3000; 00000000000000.; 00000000000000.; 00000000000000.;V; 000000000131.; 000000000000.; 000001.;3000; 00000000000000.;2002;11;; 000000000000.;1970-01-01; 000000000000.;1970-01-01; 0000000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.;1970-01-01;1970-01-01;1970-01-01;000000;000000;000000;;;;;;; 000000000000.; 000000000000.;00;B              ;000100060256;000100060257;;;;00;00;00;;;000;000;000;0000;0000;0000;; 000000000000.;;; 000000000000.; 00000000000000.;;;;1970-01-01;; 0000000.; 000000000000.; 000000000000.; 000000000000.;;;;;;;;;; 000000.;;;
800;000000000000000732;3000;;; 00000000000000.; 00000000000000.;S; 000000000510.; 000000000510.; 000001.;3030; 00000000000000.; 00000000000000.; 00000000000000.;S; 000000000510.; 000000000510.; 000001.;3030; 00000000000000.; 00000000000000.; 00000000000000.;S; 000000000510.; 000000000510.; 000001.;3030; 00000000000000.;2003;02;; 000000000000.;1970-01-01; 000000000000.;1970-01-01; 0000000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 00000000000000.; 000000000000.; 000000000000.; 000000000000.; 000000000000.;1970-01-01;1970-01-01;1970-01-01;000000;000000;000000;;;;;;; 000000000000.; 000000000000.;00;B              ;000100064914;000100064915;;;;00;00;00;;;000;000;000;0000;0000;0000;; 000000000000.;;; 000000000000.; 00000000000000.;;;;1970-01-01;; 0000000.; 000000000000.; 000000000000.; 000000000000.;;;;;;;;;; 000000.;X;;
